bn:00041942n	grupo agrupación colectivo
bn:00062759n	plan programa proyecto director_del_programa gestión_de_programas planes
bn:00027473n	emisión
bn:00019780n	clima climas clima_local climas_del_mundo climatico climatologo climatólogo climático tipoclima clima_global climáticas sistema_climático
bn:00021721n	conferencia
bn:00063819n	posturas
bn:00066603n	recriminación
bn:00017153n	enfoque centrándose
bn:00036512n	viernes vie vi. vie. 6.°_dí día_de_venus sexto_día v v. vi penultimo_dia penultimo_día sexto_dia sukravara sukravāra śukravara śukravāra
bn:00067024n	descarga liberación
bn:00028015n	documento papeles cédula documentación pliego escrito documentos circular_informativa documento_escrito
bn:00025780n	disminución reducción debilitamiento merma abatimiento aminoración corte decaimiento mengua minoración step-down
bn:00078738n	año año_gregoriano ma mes_doce
bn:00013941n	carga peso preocupación
bn:00076588n	plazo término fase corto_plazo largo_plazo
bn:00076732n	texto textos materia_textual
bn:00008786n	base fundamento base_hamel base_ordenada vector_de_la_base vectores_de_la_base
bn:00008568n	trato pacto acuerdo arreglín bicoca ganga
bn:00041712n	gas_de_invernadero gas_de_efecto_invernadero gas_de_efecto_de_invernadero gases_de_efecto_invernadero gas_invernadero gases_de_invernadero gases_de_invernáculo gases_invernadero gases_invernaderos gases_de_invernaculo gei emisiones_de_gases_de_efecto_invernadero emisión_de_gas_de_efecto_invernadero gas_efecto_invernadero emisiones_de_carbono emisiones_de_efecto_invernadero emisiones_de_gases_efecto_invernadero emisiones_dióxido_carbono emisión_de_efecto_invernadero retroalimentación_del_vapor_de_agua vida_atmosférica
bn:00058511n	obstáculo barrera dificultad impedimento obstrucción traba escollo estorbo óbice obstáculos
bn:00061005n	camino estilo_de_vida senda trayectoria vida vía forma_de_vida manera
bn:00001549n	mejora mejoría
bn:00026838n	negociación diálogo gestión tramitación negociaciones manejo_de_conflictos_socioambientales negociacion negociador negociar
bn:00077267n	tiempo hora
bn:00045153n	mundo humanidad género_humano raza_humana especie_humana hombre tierra global humanos seres_humanos
bn:00029424n	tierra mundo globo_terrestre globo globo_terráqueo la_tierra planeta_tierra el_planeta nuestro_planeta el_globo el_mundo gaia madre_tierra pachamama planeta_azul sol_3 sol_iii tercer_planeta 🜨 atilio_gambedotti este_planeta ♁
bn:00050371n	líder autoridad dirigente cabeza jefe
bn:00022479n	copenhague copenhagen copenhaguen capital_de_dinamarca kobenhavn københavn capital_danesa cph hafn hafnia havn kobmhaun copenague copenhage
bn:00014711n	semana semana_calendario semana_de_siete_días
bn:00081604n	grupo_de_trabajo equipo_de_trabajo grupos_de_trabajo equipos_de_trabajo estrategia_directiva estrategias_directivas grupo_de_investigacion grupo_de_investigación solución_creativa_de_problemas
bn:00055644n	dinero divisa efectivo creacion_de_dinero creacion_monetaria creación_de_dinero creación_monetaria parne parné monetario
bn:00023236n	estado nación país estado_soberano res_publica pueblo república territorio nacion naciones estado_independiente estados estatal etat fundamentos_filosoficos_de_la_nacion fundamentos_filosoficos_de_la_nación fundamentos_filosóficos_de_la_nación poder_público cuerpo_político estados_soberanos gubernamentales nacional sociedad_política teoría_declarativa_de_la_estadidad
bn:00058969n	
