bn:00041942n	组
bn:00062759n	计划 計劃 设计 計畫
bn:00027473n	发射物
bn:00019780n	气候 氣候 风土 气候区 氣候帶 氣候變化 中国大陆中学教材气候分类法 气候带 全球气候 气候系统
bn:00021721n	讨论会 会议
bn:00063819n	装腔作势
bn:00066603n	对骂
bn:00017153n	重点 集中
bn:00036512n	周五 星期五 礼拜五 禮拜五 週五 ㈮ ㊎ 星期伍 禮拜伍 金曜日
bn:00067024n	放出 松开 解放 释放
bn:00028015n	文件 文献 公文 文档 文书 文書 文獻 书面文件
bn:00025780n	减少 缩减 缩小 降低 降压
bn:00078738n	年 一年 十二个月 12个月
bn:00013941n	负担 责任
bn:00076588n	期限 阶段 階段 短期 长期
bn:00076732n	文本 课文 原文 課文 文字问题
bn:00008786n	基础 基本原理 根本 基礎 有序基础
bn:00008568n	买卖 买卖合同 交易 成交协议 成交条件 合同 合約 合约 契約 契约
bn:00041712n	温室气体 溫室氣體 溫室效應氣體 温室气体排放 在大气中的寿命 水汽反馈 的二氧化碳排放量 碳排放量
bn:00058511n	障碍 妨碍 妨礙 障礙
bn:00061005n	生活方式 路 路线 路途 轨道 途径 道路 方式 路径
bn:00001549n	
bn:00026838n	谈判 談判 交涉 会谈 國際談判 議價 说服 協商
bn:00077267n	时间
bn:00045153n	人类 世界 人類 天地 world 世上 全世界 全球 真实世界
bn:00029424n	地球 世界 大地 ♁ 太陽3 太陽系第三行星 泰拉 蓋亞 🌍 🌎 🌏 🗺 🜨
bn:00050371n	会长 领导 领导人 领袖 首领 领导者
bn:00022479n	哥本哈根 copenhagen københavn 丹麦首都哥本哈根
bn:00014711n	周 星期 礼拜 日历周
bn:00081604n	工作群体 工作组 工作小組 審議會 工作小组
bn:00055644n	钱 货币 金钱 貨幣 金錢 money 付费 流幣 货币发行 錢 錢幣 钱财 💰
bn:00023236n	国家 国 國 國家 主权国家 主權國家 國民 主权国 共和国 国土 州 主权国家列表 國族 主權國 人民 国民 邦 邦国 邦國 政府 主權州 主權獨立國家 独立国家 state 国族 政府政体 res出版物 国内 政治体 政治社会
bn:00058969n	
bn:00040681n	全球变暖 全球暖化 全球變暖 全球升温 全球温室效应 global_warming 世界暖化 世界變暖 全球增温 全球暖化防治 地球暖化 地球變暖 气候变暖
bn:00003268n	范围 界限 音域
bn:00003132n	选项 抉择 选择 選項 替代
bn:00043267n	问题
bn:00053933n	最大量 最大
bn:00076457n	温度 溫度 冷暖 大气温度 气温 氣溫 空气温度 表面温度
bn:00067923n	上升
bn:00008985n	书库 堆 批 一笔可观的 大量 好对付 帕塞尔 很多 很多的 很好的协议 摆 相当小的 穆克勒
bn:00035190n	
bn:00064536n	程序 过程 手续 做法 方法 過程
bn:00015501n	
bn:00047203n	发言人 代言人 解释者 新聞官 新闻发言人
bn:00036837n	官员 公务员 官員 做负责人或行使特殊使命的人 官 职员 公務員 主持 工作人员 民选官员 职能 选举办公室
bn:00062275n	事态 写照 局面 景象 状况 生动的描写
bn:00059783n	大綱 图式 圖式 阴谋 陰謀
bn:00061135n	百分比 百分率 百分之 百分数 比率 部分 巴仙 百分數 ％ % 趴线 趴线豆 百份比 比例
bn:00025966n	程度 阶段 级
bn:00026694n	发展中国家 發展中國家 欠发达国家 欠發達國家 開發中國家 不发达国家 developing_country 开发中国家 欠已开发国家 欠已開發國家 開發途上國 在国家 在的国家
bn:00061605n	一段时间 时代 时期 期 期间 阶段 时间段
bn:00021127n	欧洲经济共同体 欧洲联盟 歐洲聯盟 欧盟 eu 歐盟 🇪🇺 european_union 內部市場（歐盟） 欧洲联盟内部市场 欧罗巴洲联盟 欧罗巴联盟 歐洲經濟共同體 歐洲聯合 e.u ec 共同市场 欧共体 欧洲共同体 欧洲共同市场
bn:00075965n	交谈 演讲 讲话 说话 谈话 talk 说
bn:00012159n	
bn:00046065n	影响
bn:00019782n	气候变化 气候变迁 氣候變化 气候改变 气候转变 氣候變率與變化 氣候改變 全球氣候變化 全球氣候變遷 氣候變遷 全球气候变化
bn:00002954n	洪水 水灾 洪灾 水災 洪災 发大水 泛滥 大水 山洪 水患 水淹 氾濫 河患 河水氾濫 泛濫 洪涝 涝 防汛 淹没
bn:00028863n	干旱 旱灾 乾旱 旱災 大旱 旱 抗旱救灾
bn:00025949n	森林開伐 伐林 森林採伐 森林砍伐 烧荒 砍伐森林 采伐森林 森林破壞 濫伐 鄱阳湖
bn:00025948n	森林开伐 采伐森林
bn:00035907n	类 類 形式 样
bn:00078848n	美國聯邦政府 federal_government_of_the_united_states government_of_the_united_states 合众国政府 合众国联邦政府 合眾國聯邦政府 美国政府 美国 美国联邦政府
bn:00031083n	特命全權公使 公使 全权公使 使节非凡 公使衔参赞 特使 部长
bn:00049915n	术语 命名法 术语学 術語學 用语 術語 物種命名 命名 科学术语 长期
