bn:00000086n	día
bn:00000127n	hora
bn:00000427n	ausencia
bn:00000649n	aceptación
bn:00000728n	tratado
bn:00000739n	informe
bn:00000772n	acumulación
bn:00000939n	referencia
bn:00000942n	cima
bn:00000942n	pico
bn:00000942n	superior
bn:00000990n	familiaridad
bn:00001077n	acto
bn:00001127n	acción
bn:00001135n	acción
bn:00001135n	medida
bn:00001171n	activista
bn:00001267n	adaptación
bn:00001423n	administración
bn:00001549n	avance
bn:00001557n	progreso
bn:00001561n	ventaja
bn:00001582n	opositor
bn:00001592n	asesoramiento
bn:00001598n	asesor
bn:00001697n	avión
bn:00001736n	ocasión
bn:00001936n	edad
bn:00001965n	forma
bn:00002155n	asistencia
bn:00002155n	ayuda
bn:00002178n	intención
bn:00002362n	Irak
bn:00002362n	Iraq
bn:00002954n	inundación
bn:00003125n	cambio
bn:00003129n	reemplazo
bn:00003132n	opción
bn:00003263n	atmósfera
bn:00003268n	gama
bn:00003340n	multa
bn:00003341n	EE.UU.
bn:00003341n	estadounidense
bn:00003343n	estadounidense
bn:00003365n	Washington
bn:00003601n	cantidad
bn:00003601n	importe
bn:00003601n	suma
bn:00003755n	anestesista
bn:00003801n	analista
bn:00003802n	analista
bn:00004352n	anuncio
bn:00004456n	encuestado
bn:00004527n	himno
bn:00005019n	apelación
bn:00005019n	llamamiento
bn:00005022n	tribunal_de_apelación
bn:00005027n	aparición
bn:00005053n	aplauso
bn:00005092n	aplicación
bn:00005105n	tecnología
bn:00005164n	estimación
bn:00005516n	área
bn:00005599n	controversia
bn:00005600n	argumento
bn:00005601n	debate
bn:00005601n	discusión
bn:00005886n	llegada
bn:00005917n	arsénico
bn:00006143n	muñeca
bn:00006383n	aspecto
bn:00006469n	violación
bn:00006479n	reunión
bn:00006504n	activo
bn:00006559n	suposición
bn:00006642n	Astrobiología
bn:00006759n	deporte
bn:00006823n	hidrógeno
bn:00006845n	fósforo
bn:00006846n	azufre
bn:00006890n	carbono
bn:00006901n	nitrógeno
bn:00006912n	oxígeno
bn:00007013n	asistencia
bn:00007026n	consideración
bn:00007047n	actitud
bn:00007051n	abogado
bn:00007085n	subasta
bn:00007146n	nada
bn:00007299n	gobierno
bn:00007449n	media
bn:00007449n	medio
bn:00007797n	respaldo
bn:00007799n	apoyo
bn:00007805n	reserva
bn:00007854n	bacteria
bn:00007985n	estudio
bn:00008047n	resto
bn:00008267n	banalidad
bn:00008279n	círculo
bn:00008364n	Banco
bn:00008364n	bancario
bn:00008364n	banco
bn:00008382n	depósito
bn:00008419n	quiebra
bn:00008568n	acuerdo
bn:00008568n	trato
bn:00008694n	barril
bn:00008786n	base
bn:00008794n	infraestructura
bn:00008875n	cesta
bn:00009080n	batalla
bn:00009472n	cama
bn:00009652n	nombre
bn:00009654n	comportamiento
bn:00009655n	comportamiento
bn:00009677n	organismo
bn:00009717n	noción
bn:00009905n	beneficio
bn:00010203n	India
bn:00010262n	licitar
bn:00010262n	oferta
bn:00010518n	bioquímica
bn:00011099n	culpabilidad
bn:00011444n	choque
bn:00011946n	bombardeo
bn:00011974n	bono
bn:00012042n	prima
bn:00012059n	libro
bn:00012159n	impulso
bn:00012212n	frontera
bn:00012213n	perímetro
bn:00012786n	Brasil
bn:00012862n	violación
bn:00012940n	descubrimiento
bn:00012940n	hallazgo
bn:00013057n	albañil
bn:00013179n	Londres
bn:00013240n	emisora
bn:00013640n	presupuesto
bn:00013701n	microbio
bn:00013768n	volumen
bn:00013941n	carga
bn:00014136n	negocio
bn:00014139n	negocio
bn:00014152n	acuerdo
bn:00014160n	empresa
bn:00014160n	firma
bn:00014710n	mes
bn:00014711n	semana
bn:00015008n	cámara
bn:00015050n	campaña
bn:00015056n	candidato
bn:00015226n	equidad
bn:00015320n	Canon
bn:00015387n	encuesta
bn:00015410n	capacidad
bn:00015496n	capital
bn:00015501n	Washington
bn:00015656n	ejecución
bn:00015656n	pena_de_muerte
bn:00015917n	carta
bn:00015917n	tarjeta
bn:00016013n	miedo
bn:00016013n	preocupación
bn:00016140n	carnaval
bn:00016286n	actuación
bn:00016401n	caso
bn:00016401n	ejemplo
bn:00016403n	caso
bn:00016403n	demanda
bn:00016448n	efectivo
bn:00016756n	China
bn:00016851n	razón
bn:00017153n	centrar
bn:00017153n	enfoque
bn:00017172n	Centroamérica
bn:00017234n	siglo
bn:00017368n	valor
bn:00017517n	presidente
bn:00017557n	desafío
bn:00017559n	desafío
bn:00017559n	recurso
bn:00017562n	aspirante
bn:00017562n	competidor
bn:00017562n	rival
bn:00017615n	Campeonato
bn:00017621n	oportunidad
bn:00017651n	cambio
bn:00017791n	cargo
bn:00017904n	gráfico
bn:00018096n	químico
bn:00018105n	elemento
bn:00018345n	niño
bn:00018660n	selección
bn:00018661n	selección
bn:00019219n	circunstancia
bn:00019403n	reclamación
bn:00019404n	afirmación
bn:00019404n	demanda
bn:00019404n	reclamación
bn:00019404n	reclamo
bn:00019405n	afirmación
bn:00019742n	Cleveland
bn:00019763n	cliente
bn:00019780n	clima
bn:00019781n	ánimo
bn:00019782n	cambio_climático
bn:00019848n	momento
bn:00019848n	vez
bn:00019966n	cierre
bn:00020039n	club
bn:00020352n	código
bn:00020452n	conocimiento
bn:00020977n	comentario
bn:00020980n	observador
bn:00021015n	comité
bn:00021034n	compromiso
bn:00021164n	sentido
bn:00021164n	sentido_común
bn:00021207n	democracia
bn:00021221n	comunicación
bn:00021278n	enamoramiento
bn:00021286n	compañía
bn:00021286n	empresa
bn:00021322n	compatibilidad
bn:00021329n	compensación
bn:00021329n	indemnización
