bn:00041942n	nhóm
bn:00062759n	kế_hoạch lập_kế_hoạch chương_trình hoạch quản_lý_chương_trình
bn:00027473n	
bn:00019780n	khí_hậu khu_vực_khí_hậu khí_hậu_ôn_đới_lạnh địa_phương hệ_thống_khí_hậu khí_hậu_toàn_cầu
bn:00021721n	hội_nghị
bn:00063819n	giả_vờ
bn:00066603n	sự_cải_lại
bn:00017153n	tập_trung
bn:00036512n	thứ_sáu th_6
bn:00067024n	
bn:00028015n	văn_kiện tài_liệu giấy_tờ viết_tài_liệu
bn:00025780n	bước_xuống giảm
bn:00078738n	năm ma mười_hai_tháng năm_dương_lịch
bn:00013941n	gánh_nặng nhiệm_vụ
bn:00076588n	giai_đoạn dài_hạn ngắn_hạn
bn:00076732n	văn_bản văn_bản_vấn_đề
bn:00008786n	cơ_sở cơ_sở_hamel cơ_sở_đã_ra_lệnh cơ_sở_đặt_hàng vector_cơ_sở vectơ_cơ_sở
bn:00008568n	
bn:00041712n	khí_nhà_kính khí_gây_hiệu_ứng_nhà_kính khí_thải_gây_hiệu_ứng_nhà_kính hiệu_ứng_nhà_kính_phát_thải hồi_hơi_nước khí_thải_dioxide_carbon lượng_khí_thải_carbon lượng_khí_thải_gây_hiệu_ứng_nhà_kính phát_thải_khí_gây_hiệu_ứng_nhà_kính phát_thải_khí_nhà_kính thông_tin_phản_hồi_hơi_nước
bn:00058511n	bước_cản chướng_ngại trở_ngại
bn:00061005n	cuộc_sống cách
bn:00001549n	
bn:00026838n	đàm_phán đối_thoại sự_đàm_phán các_cuộc_đàm_phán thương_lượng
bn:00077267n	thời_gian
bn:00045153n	thế_giới loài_người nhân_loại hoàn_cầu quốc_tế world con_người loài_người nhân_loại
bn:00029424n	trái_đất địa_cầu quả_đất thế_giới hoàn_cầu hòn_bi_xanh toàn_cầu đất_mẹ ♁ 🌍 🌎 🌏 🗺 🜨 quĩ_đạo_trái_đất trái_ðất giới đất
bn:00050371n	
bn:00022479n	copenhagen cô-pen-ha-gen cô-pen-ha-ghen cơ-bần-hăng copenhague kopenhagen københavn kobenhavn đan_mạch_vốn
bn:00014711n	tuần_bảy_ngày tuần_lịch
bn:00081604n	nhóm_làm_việc làm_việc_bên làm_việc_nhóm
bn:00055644n	tiền chọc_chim xục_cặc đục_đít money tiền_bạc bằng_tiền tiền_tệ
bn:00023236n	nhà_nước quốc_gia_có_chủ_quyền quốc_gia dân_tộc quốc_gia_độc_lập đất_nước quốc_dân quốc_gia_độc_lập_có_chủ_quyền nhóm_sắc_tộc nhà_nước_có_chủ_quyền nước_có_chủ_quyền quốc_gia_chủ_quyền state chính_phủ cơ_thể_chính_trị lý_thuyết_khai_báo_của_một_bang_mỹ nước res_publica xã_hội_chính_trị
bn:00058969n	
bn:00040681n	ấm_lên_toàn_cầu hâm_nóng_toàn_cầu nóng_lên_toàn_cầu sự_nóng_lên_toàn_cầu hiện_tượng_ấm_lên_toàn_cầu sự_nóng_lên_của_khí_hậu_toàn_cầu sự_nóng_lên_của_trái_đất sự_ấm_lên_của_trái_đất sự_ấm_toàn_cầu vấn_đề_nóng_lên_của_khí_hậu ấm_nóng_toàn_cầu ấm_toàn_cầu biến_đổi_khí_hậu_do_con_người_gây_ra
bn:00003268n	phạm_vi ranh_giới
bn:00003132n	luân_phiên thay_thế
bn:00043267n	câu_hỏi
bn:00053933n	tối_đa
bn:00076457n	nhiệt_độ ôn_độ 溫度 nhiệt_độ_bề_mặt nhiệt_độ_không_khí
bn:00067923n	tăng
bn:00008985n	đống great_deal gọn_gàng_tổng_hợp khá_một_chút mickle muckle passel rất_nhiều tốt_đối_phó xoay
bn:00035190n	
bn:00064536n	quá_trình phương_pháp qui_trình thủ_tục
bn:00015501n	
bn:00047203n	người_phát_ngôn phát_ngôn_viên
bn:00036837n	chính_thức công_chức giữ_được_bầu hành_lể quan_chức_chính_phủ
bn:00062275n	hình_ảnh
bn:00059783n	phác_thảo
bn:00061135n	tỷ_lệ_phần_trăm phần_trăm số_phần_trăm % mỗi_centum
bn:00025966n	giai_đoạn mức_độ điểm
bn:00026694n	nước_đang_phát_triển các_nước_đang_phát_triển các_nước_chậm_phát_triển các_nước_kém_phát_triển các_quốc_gia_chậm_phát_triển các_quốc_gia_kém_phát_triển các_quốc_gia_đang_phát_triển nền_kinh_tế_đang_phát_triển quốc_gia_đang_phát_triển các_quốc_gia_phát_triển nước_có_thu_nhập_thấp nước_kém_phát_triển thế_giới_đang_phát_triển
bn:00061605n	khoảng_thời_gian
bn:00021127n	liên_minh_châu_âu cộng_đồng_kinh_tế_châu_âu eec liên_minh_âu_châu eu liên_hiệp_âu_châu 🇪🇺 european_union liên_hiệp_châu_âu liên_minh_tiền_tệ_châu_âu liên_âu cộng_đồng_châu_âu thị_trường_chung e.u ec thị_trường_chung_châu_âu
bn:00075965n	talk nói nói_chuyện
bn:00012159n	
bn:00046065n	tác_động
bn:00019782n	biến_đổi_khí_hậu thay_đổi_khí_hậu biến_đổi_khí_hậu_toàn_cầu
bn:00002954n	lũ_lụt lụt lụt_lội lũ nạn_lụt mùa_nước_lũ ngập_lụt nước_lũ
bn:00028863n	hạn_hán cứu_trợ_hạn_hán
bn:00025949n	phá_rừng disforestation phá
bn:00025948n	
bn:00035907n	loại hình_thức
bn:00078848n	chính_quyền_liên_bang_hoa_kỳ chính_quyền_hoa_kỳ chính_phủ_liên_bang_của_mỹ chính_phủ_hoa_kỳ chính_phủ_mỹ chính_phủ_liên_bang_của_hoa_kỳ chính_phủ_liên_bang_hoa_kỳ chính_phủ_liên_bang_mỹ hoa_kỳ mỹ phủ_hoa_kỳ
bn:00031083n	công_sứ bộ_trưởng bộ_trưởng_cố_vấn bộ_trưởng_mệnh_toàn_quyền bộ_trưởng_tham_tán hàm_ngoại_giao mệnh_toàn_quyền_bộ_trưởng mệnh_toàn_quyền_của_bộ_trưởng phái_viên_đặc_biệt
bn:00049915n	danh_pháp thuật_ngữ thuật_ngữ_học danh_pháp_khoa_học thuật_ngư_tập tên_khoa_học
bn:00024615n	
bn:00056029n	cử_động vận_động hoạt_động_vận vận_động_của_loài_vật
bn:00042938n	cứng_dòng
bn:00016756n	cộng_hòa_nhân_dân_trung_hoa trung_quốc trung_quốc_đại_lục trung_hoa chnd_trung_hoa chndth tàu tàu_đỏ cộng_hoà_nhân_dân_trung_hoa trung_hoa_đại_lục hoa_lục trung_hoa_nhân_dân_cộng_hòa_quốc cộng_hòa_nhân_dân_trung_quốc trung_hoa_lục_địa china mainland_china nước_tàu people's_republic_of_china prc tq trung-quốc trung_quốc_lục_địa đại_lục_trung_hoa đại_lục_trung_quốc cathay cộng_sản_trung_quốc trung
bn:00014103n	chính_quyền_george_w_bush
bn:00001135n	
bn:00020980n	
bn:00020977n	bình_luận nhận_xét
bn:00044982n	thời_gian_trong_ngày giờ
bn:00035831n	bộ_ngoại_giao bộ_trưởng_ngoại_giao bộ_trưởng_bộ_ngoại_giao ngoại_trưởng
bn:00003341n	hoa_kỳ hợp_chúng_quốc_hoa_kỳ mỹ nước_mỹ mỹ_quốc hợp_chủng_quốc_hoa_kỳ hợp_chúng_quốc_mỹ mĩ us usa cộng_hoà_liên_bang_mỹ cộng_hòa_liên_bang_mỹ hiệp_chúng_quốc_hoa_kỳ hiệp_chủng_quốc_hoa_kỳ hoa_kì united_states united_states_of_america nước_mĩ america hiệp_chủng_quốc huê_kỳ hợp_chủng_quốc_hoa_kì ma_li_căn ma_ly_căn mĩ_lợi_kiên mĩ_quốc mỹ_lợi_kiên nhã_di_lí nhã_di_lý những_nhà_nước_thống_nhất_của_châu_mỹ quốc_mỹ u.s. u.s.a hoa u.s.a.
bn:00057209n	người_thương_thuyết người_điều_đình xử_lý,
bn:00021164n	lẽ_thường cảm_giác_tốt chung_cảm_giác mẹ_wit ngựa_ý_nghĩa thông_thường đồng_hồ_nước_communis
bn:00035211n	quỹ_đạo quĩ_đạo đạn_đạo
bn:00041585n	siêu_cường cường_quốc siêu_cường_quốc đại_cường_quốc liệt_cường cường_quốc_toàn_cầu một_cường_quốc quyền_lực_lớn quyền_lực_trong_quan_hệ_quốc_tế sức_mạnh_siêu thế_giới_quyền_lực
bn:00033819n	đường_đứt_gãy
bn:00009080n	xung_đột
bn:00029678n	kinh_tế hệ_thống_kinh_tế kinh_tế_tự_nhiên kinh_tế_nông_thôn kinh_tế_quốc_gia kinh_tế_thực
bn:00052888n	hành_tinh hành_tinh_giả_thuyết planet thiên_thể_có_khối_lượng_hành_tinh tinh chính_hành_tinh planemo
bn:00029239n	nghĩa_vụ nhiệm_vụ trách_nhiệm chức_trách chức_vụ
bn:00000085n	24 hai_mươi_tư hai_chục xxiv
bn:00046093n	
bn:00026025n	ủy_nhiệm đại_biểu
bn:00022995n	chi_phí giá giá_cả phí số_tiền chi_phí_sản_xuất chi_tiêu_ngũ đắt_tiền
bn:00001127n	hành_động sự_hành_động hoạt_động hành_vi
bn:00037187n	bí_mật_kế_hoạch
bn:00043539n	bá_quyền quyền_lanh_đạo quyền_bá_chủ
bn:00054693n	mexico mê-hi-cô méxico mễ_tây_cơ hợp_chúng_quốc_mễ_tây_cơ mễ_tây_cơ_hợp_chúng_quốc hợp_chúng_quốc_me-xi-co hợp_chúng_quốc_mexico hợp_chúng_quốc_mê-hi-cô hợp_chúng_quốc_mêhicô hợp_chúng_quốc_mễ hợp_chúng_quốc_mễ-tây-cơ liên_bang_mexico liên_bang_mê-hi-cô liên_bang_mêhicô mê-xi-cô mễ nước_mễ liên_bang_mê_hi_cô mê_hi_cô hợp_chủng_quốc_mexico liên_bang_méxico mexique méjico mê_xi_cô mêhico mêhicô mêxico mêxicô mơhicô mặc_tây_kha mặc_tây_kha_hợp_chúng_quốc mếch-xích mễ-tây-cơ mễ-xi-cô mễ_quốc mễ_xi_cô quốc_gia_mễ mexico_states
bn:00017172n	
bn:00001598n	chuyên_gia_tư_vấn cố_vấn consultant tư_vấn
bn:00000728n	hiệp_ước pacte hiệp_định
bn:00060798n	
bn:00054277n	hội_viên thành_viên
bn:00028548n	dự_thảo_bản_sao
bn:00064776n	đề_xuất
bn:00035851n	buổi_sáng buổi_sáng buổi_sáng_thời_gian morn sáng
bn:00009652n	
bn:00065344n	
bn:00064262n	áp_lực
bn:00010203n	ấn_độ bharat cộng_hòa_ấn_độ india nước_ấn thiên_trúc ấn-độ ấn_ðộ
bn:00079330n	
bn:00032654n	thực_tế
bn:00047688n	vấn_đề
bn:00041200n	bộ_trưởng tổng_trưởng bộ_trưởng_chính_phủ bộ_trưởng_chính_trị chính_phủ_bộ_trưởng
bn:00001697n	máy_bay tàu_bay phi_cơ airplane tầu_bay bay
bn:00042663n	đại_sảnh lễ_đường phòng_chờ phòng_họp_lớn phòng_khách_chung phòng_lên_lớp phòng_lớn phòng_ăn_lớn hành_lang hội_trường
bn:00041948n	cuộc_họp họp_mặt mít_tinh mít-tinh họp nhóm_họp
bn:00057552n	họp_báo cuộc_họp_báo
bn:00019405n	
bn:00006479n	
bn:00061450n	nhân_dân dân_tộc dân_gian người_dân quần_chúng quần_chúng_nhân_dân thảo_dân người
bn:00000086n	ngày day 24_giờ 24_hour_period có_nghĩa_là_năng_lượng_mặt_trời_ngày khoảng_24-giờ ngày_có_nghĩa_là_năng_lượng_mặt_trời năng_lượng_mặt_trời_ngày
bn:00001171n	phần_tử_tích_cực chiến_binh hoạt_động
bn:00071315n	chương_trình
bn:00060464n	giấy tờ_giấy
bn:00029345n	thư_điện_tử điện_thư thơ_điện_tử e-mail email bảo_mật_email lịch_sử_thư_điện_tử mail_internet
bn:00017557n	
bn:00047043n	cường_độ intensiveness
bn:00054897n	thứ_tư thứ_4 kết_hôn
bn:00010317n	big_league chuyên_ngành major_league
bn:00079435n	phó_chủ_tịch phó_tổng_thống executive_vice_president phó_chủ_tịch_điều_hành_cấp_cao phó_chủ_tịch_điều_hành v.p.
bn:00063330n	chính_sách qui_định quy_định các_nhà_hoạch_định_chính_sách
bn:00009664n	
bn:00078365n	chiến_thắng thắng_lợi thắng
bn:00047679n	israel i-xra-en ixaren ixraen nhà_nước_isarel nhà_nước_ixraen nước_do_thái quốc_gia_israel nhà_nước_israel yisrael
bn:00080111n	chuyến_thăm thăm
bn:00073699n	tập_thể đội ê-kíp ê_kíp đội_ngũ nhóm đoàn nhóm_người team tổ_đội équipe ê-kip đội_nhóm
bn:00052052n	
bn:00016286n	hiệu_suất thực_hiện_thành_hành_động
bn:00063218n	số_điểm điểm điểm_số_cao
bn:00000942n	
bn:00000427n	vắng_mặt
bn:00030844n	sự_tham_gia tham_gia có_sự_tham_gia tham_gia_chính_trị
bn:00076309n	làm_việc_theo_nhóm teamwork
bn:00030720n	cuối thức_sân_khấu
bn:00075025n	thành_công
bn:00059751n	ngoài_giới_hạn
bn:00037181n	trò_chơi
bn:00033833n	
bn:00069757n	scoreboard
bn:00073989n	bắt_đầu
bn:00008875n	tiêu_thả
bn:00012213n	chu_vi
bn:00021870n	phỏng_đoán surmisal
bn:00057368n	
bn:00006143n	cổ_tay xương_cổ_tay nắm_đấm xương_cườm_tay articulatio_radiocarpea cổ_tay cổ_tay_doanh khớp_cổ_tay khớp_radiocarpal radiocarpal_doanh
bn:00069759n	
bn:00034792n	thời_kỳ_thứ_nhất
bn:00065577n	
bn:00081568n	công_việc
bn:00081042n	huýt_sáo
bn:00005053n	vỗ_tay handclaps tay_vỗ tiếng_vỗ_tay vòng_treo_lươi_chuông
bn:00044531n	trở_lại
bn:00044488n	nhà
bn:00050340n	dẫn_đầu
bn:00025236n	đêm ban_đêm tối buổi_tối
bn:00042647n	giờ_nghỉ_giải_lao giờ_nghỉ_giải_lao một_nửa_thời_gian
bn:00042759n	bàn_tay tay manus
bn:00036823n	chức_năng phần vai_trò văn_phòng
bn:00066863n	lấy_lại
bn:00051117n	
bn:00027415n	bất_lợi
bn:00060799n	người_tham_gia
bn:00023270n	vài
bn:00062929n	chơi
bn:00002155n	giúp_đỡ hỗ_trợ giúp trợ_giúp sự_giúp_đỡ viện_trợ
bn:00030719n	cuối
bn:00061606n	
bn:00055094n	phút
bn:00051301n	
bn:00053001n	maliciousness
bn:00030341n	11_giờ phút_cuối
bn:00019848n	
bn:00070056n	mùa mùa-off mùa_giải mùa_nhà_và_sân_khách offseason trước_mùa_giải
bn:00076788n	street
bn:00046200n	xung_lượng xung đà
bn:00028114n	đô_la đô đô-la dollar dollars đôla
bn:00010302n	sở_giao_dịch_chứng_khoán_new_york sàn_giao_dịch_chứng_khoán_new_york new_york_stock_exchange nyse thị_trường_chứng_khoán_new_york n._y._thị_trường_chứng_khoán
bn:00002181n	mang
bn:00053460n	thị_trường_tài_chính ngành_chứng_khoán
